[2023-10-30T07:49:55.575] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.583] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.586] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.588] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.593] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.600] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.606] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.610] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.613] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.617] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.621] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.624] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.629] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.635] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.641] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.646] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.650] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.653] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.655] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.660] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.665] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.669] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.671] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.675] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.679] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.683] [INFO] ma-core - Shift Unassigned reminder cron launched
