[2021-11-30T10:22:10.555] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:23:13.164] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:23:53.908] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:24:36.839] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:24:41.321] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:24:43.484] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:24:45.521] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:24:48.137] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:26:35.549] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:27:44.227] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:28:42.399] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:28:48.044] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:28:53.625] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:29:36.188] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:29:37.954] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:29:42.310] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:29:50.800] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:29:54.384] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:29:58.513] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:30:00.424] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:30:03.121] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:30:15.688] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:30:18.684] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:31:04.758] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:31:07.842] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:31:12.449] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:31:19.095] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:31:21.752] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:31:31.536] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:33:20.413] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:33:23.398] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:33:35.319] [TRACE] ma-core - A user connected, Total users connected is: 
