[2023-10-29T13:43:47.870] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.872] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.873] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.875] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.877] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.878] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-29T13:43:47.881] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.882] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-29T13:43:47.885] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.887] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.889] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.891] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.893] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.896] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.898] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.902] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.906] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.908] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.910] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.913] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.916] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.919] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.922] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.924] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.926] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.928] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.931] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.934] [INFO] ma-core - Shift Unassigned reminder cron launched
